Band,Mean,Median,Std,IQR,Min,Max
1,0.596449922560075,0.642997353634656,0.218121152467173,0.327422708604309,0.0157533755077183,0.950661190680521
2,0.593107838543991,0.649184269848407,0.220043383817212,0.319112141659842,0.0140302971953997,0.939984179519579
3,0.600479454388042,0.651250464032878,0.217118147810626,0.319511811604279,0.0156236341344674,0.939707948616587
4,0.595610808447435,0.647390523900254,0.219537824855847,0.312148117067126,0.0166863069284487,0.95041254306901
5,0.606120418151551,0.656813328635091,0.220406179384483,0.321522174524779,0.0155321983353169,0.941089355842656
6,0.598301944635103,0.650484473207249,0.222834522434313,0.320104017560361,0.0149848021781123,0.940940606164544
7,0.609363208292324,0.657363833496591,0.218148148849417,0.305590204367874,0.014367374786181,0.941193846734978
8,0.602245169584668,0.649537021141307,0.220933203320635,0.319262292022542,0.0157414964411858,0.943520628311237
9,0.602488753119042,0.651579200502235,0.213605126559812,0.311094280826431,0.0141018147645405,0.940184102419441
10,0.629410524371887,0.68116683455203,0.215460428429743,0.297032954783827,0.0201529289054307,0.953435011086256
11,0.59073182140767,0.636596311246996,0.216786905220164,0.314693443242573,0.0199330213294699,0.952332943888596
12,0.625106817613392,0.681195598849921,0.212258199037876,0.296495863138956,0.0154954258438614,0.955143772255383
13,0.613245137775139,0.665986252731922,0.216641638591527,0.31043372989533,0.0195817593131422,0.944558114800276
14,0.610964073042983,0.654940760041618,0.212547422193319,0.31396654189042,0.0140675631436469,0.944195638068901
15,0.608670596360807,0.663730213536808,0.217382428471204,0.318735497824975,0.0174032891467044,0.94447171620648
16,0.61036839918698,0.666339703526253,0.219642429703661,0.308050855957724,0.0166318637710829,0.952468458303648
17,0.614049166820647,0.662645957470322,0.214578565540489,0.296097026348741,0.0180781537400119,0.959157792467756
18,0.617351695693986,0.671949290167705,0.213265924771914,0.296810144953797,0.0140260990611074,0.94292712086722
19,0.604787790145893,0.661019269098329,0.221582897418953,0.316441577086826,0.0144322327095732,0.947624236434265
20,0.59994676704388,0.647716473521295,0.21881478842995,0.31992978743397,0.0162280822972037,0.934236807699475
21,0.603017525260979,0.648648656016896,0.219094036330589,0.326752309194134,0.0144261382144809,0.947800518889729
22,0.599929949076599,0.645199464502613,0.223584686067764,0.337237299760757,0.0167495797585736,0.952368999435731
23,0.612336140879684,0.66043236917642,0.214131476857454,0.298147348145901,0.0142788949394961,0.94276304500869
24,0.601634470853152,0.645203688861084,0.21648721543776,0.310696564323806,0.0142499803189743,0.942156774754713
25,0.603222458711851,0.650275321659044,0.21979724146248,0.3167296453533,0.0180951820080288,0.957616190464264
26,0.595231361148877,0.640532350360513,0.222260419516017,0.321894211967614,0.0172993868403122,0.959925131166487
27,0.605708030848826,0.656846135812168,0.222464782594758,0.321174895919479,0.0141915396558288,0.954867922836548
28,0.595029850897795,0.645870979209655,0.224492195932266,0.337371986838467,0.0198762375374776,0.947180283343819
29,0.607567646208134,0.658946330812539,0.217678402354311,0.310813633067906,0.0201942244943082,0.955857265334685
30,0.592705349423063,0.642360393331333,0.224296468252189,0.313863019833117,0.0152398548619501,0.954785175692624
31,0.606591695758881,0.657179260948446,0.216969352611544,0.308120619454619,0.0155330699809844,0.946955104430268
