Estimate,SE,tStat,pValue
1.45465352171998,0.416562019405708,3.49204549131789,0.000479336602885967
-0.96128914349476,0.342024833585258,-2.81058288492708,0.00494518498476634
0.52116154936641,0.319313121738177,1.63213320683307,0.102651427706823
0.596515443322454,0.328274033801507,1.8171264915919,0.0691977472272749
0.0916846632091508,0.341166777194255,0.268738544717521,0.788130888124898
0.00143005068343632,0.330164742426674,0.00433132463789321,0.996544113749223
0.602077912031192,0.322636631328381,1.86611764929567,0.0620249072106708
0.27878560026793,0.342028754213226,0.815094043508785,0.415018480921149
-0.145131370493674,0.345040376884786,-0.420621411917061,0.674031555805127
-0.196645483299939,0.349566673414345,-0.562540706124047,0.573747677576682
0.262032797393505,0.340030655858821,0.770615216241855,0.440935039312631
-0.121037356055696,0.344887840263156,-0.350947009217089,0.725628103391561
0.257851213199275,0.344628132907404,0.748201288803532,0.45433875375592
-0.137486528622791,0.338663312956668,-0.40596817949508,0.684765981045669
0.667965431303087,0.33735008456527,1.98003635352239,0.0476994439198163
0.105857388303616,0.336949100056982,0.314164330119042,0.753396232561022
0.470119666498915,0.317799589662269,1.47929601482028,0.139061217510232
0.371171604550237,0.335707918950207,1.10563851371433,0.268883012899792
0.100733281482865,0.351288169501914,0.286753982138632,0.774300700682713
-0.241389359512752,0.333085797952521,-0.724706249850857,0.468632260133321
0.215854904391516,0.327803618630829,0.658488473352124,0.510224301347333
-0.080000962403758,0.327366097162173,-0.244377664936166,0.806938338265449
-0.355860473366722,0.336898080667175,-1.05628525001388,0.290837912702336
-0.427084428934917,0.350041987597235,-1.2200948573813,0.222428917841105
0.194577792264002,0.330551315768992,0.588646249407107,0.556098601913121
-0.111971716807949,0.343354236454712,-0.32611135940569,0.744340102872192
0.350243366032728,0.323711437766041,1.08196166452995,0.27926956248486
-0.707569009648518,0.342639577697375,-2.06505335549256,0.0389179521637811
-0.495443825552573,0.332582484266955,-1.48968706708828,0.13630653671493
-0.575876800454349,0.343229372873253,-1.67781910864315,0.0933824178011392
-0.395945445707347,0.333568411284398,-1.1869992250848,0.23522792616886
0.358338121490106,0.331354745527923,1.08143349786403,0.279504327648253
