Band,Mean,Median,Std,IQR,Min,Max
1,0.611816828676949,0.660567671664044,0.208339670952267,0.2910192838235,0.0210884537666131,0.942888440786343
2,0.614577889571741,0.658143903995065,0.217497432951505,0.337685616859155,0.0513824478362339,0.938777421700992
3,0.640813056699991,0.690057075821669,0.197037720735639,0.28596750478309,0.0359407026902482,0.937006166716037
4,0.620612598655968,0.679065541797951,0.209241149158809,0.308152832565924,0.0546782542360126,0.930049201923128
5,0.596734058031934,0.654718870107953,0.228022410391995,0.32591324362764,0.0199351795519319,0.922966242500456
6,0.617547306144258,0.664209838868307,0.215774700538345,0.304503678260784,0.023195610284908,0.944022923333882
7,0.624896724932366,0.672423036309368,0.214254173730183,0.301262768390144,0.0379019950152587,0.926100043648186
8,0.615508186355018,0.664243585324526,0.214856021279583,0.290984607853328,0.0285004723825485,0.939198284961422
9,0.62379584683433,0.678728941021893,0.214502707289149,0.314091278536597,0.0317647888604764,0.9560792375219
10,0.650892073071462,0.707085776219882,0.212752109150064,0.28838454226976,0.0358570240069251,0.943601572602789
11,0.57380476819857,0.62600591947256,0.226506926173034,0.316483435438616,0.0196973934581233,0.925395953271978
12,0.633214146715287,0.684506122296604,0.216395084467296,0.284101391251967,0.017999216400742,0.936663336690028
13,0.602087739271162,0.648644469123857,0.21464447696168,0.298076822296447,0.022030305782817,0.941767798411656
14,0.607789045332687,0.666079904287832,0.224851117634329,0.290792130061432,0.0215870354126915,0.921094018672681
15,0.615501597501293,0.674357512233024,0.219906333543561,0.31911219646418,0.0208058181186236,0.94110449390971
16,0.604457701576889,0.663654576323393,0.231229478590587,0.33723349659159,0.0145630232271144,0.930922336182175
17,0.609065850089226,0.657521150735086,0.229961043120023,0.358343076319913,0.0182556471690014,0.940810146965866
18,0.618449633187741,0.655471239484343,0.208581452399315,0.295701511752477,0.0177623644943932,0.931806126808362
19,0.620630398736187,0.669188967963654,0.225119644932142,0.305989820963607,0.0141978849509001,0.934935701816377
20,0.615261822483876,0.68076402843879,0.221177811515941,0.33928185057286,0.0147089743684068,0.921940938832269
21,0.617476322078226,0.67362096847967,0.223954604005172,0.321439039657979,0.0196879828228684,0.955875079528323
22,0.629720215457347,0.685735964950148,0.209444231680508,0.305177183092358,0.0258857405924785,0.955361859067707
23,0.640797756369441,0.70153035775112,0.211407008713414,0.283363569230661,0.0152257696951004,0.930848897188034
24,0.622332629283881,0.679605437086849,0.203955250475323,0.278532840940582,0.0199724711944184,0.911087287230791
25,0.622287557925871,0.663510327156799,0.205565980132617,0.279038288981417,0.0179535549915046,0.917620172009179
26,0.616104186927563,0.663963032532554,0.218784596371502,0.285720343081033,0.0254482230395272,0.928674418731051
27,0.60860649732501,0.650973387387195,0.218337052163281,0.320641096456377,0.0220649458960521,0.942742863773612
28,0.648857051341645,0.701439188302265,0.206617290654128,0.276411094327706,0.0159979155705566,0.937005067447817
29,0.627897934111325,0.685039990237873,0.216756621017394,0.323715830070248,0.038168023082401,0.936748126235918
30,0.611248044638567,0.659827787242415,0.214413355627447,0.303463560756661,0.0222957769476251,0.933224981871689
31,0.615802579761278,0.655026937699721,0.217524681496028,0.29556126545637,0.0172104617723854,0.927838618920023
