Band,Mean,Median,Std,IQR,Min,Max
1,0.552401256352778,0.582797927877776,0.229911317998196,0.347147577704416,0.0174864136004732,0.91330378134911
2,0.556015459879733,0.595747714957469,0.231786839248684,0.365223291037606,0.0209823114213599,0.918755210876809
3,0.606451232801919,0.657669219205127,0.215961792031838,0.303520443716431,0.0144384458144413,0.914492684505986
4,0.592213721712407,0.636056383827918,0.224410589326076,0.337070432415053,0.0226998695573349,0.954264040673914
5,0.610700161714495,0.644478806047371,0.210755348531577,0.326903763783045,0.0192725455938472,0.932290831471817
6,0.596974610163698,0.650709600759962,0.220729863901753,0.32470071267025,0.0575303403796009,0.940606011279953
7,0.592836475309222,0.646442824109239,0.247264180166201,0.384872566121754,0.0199460812940454,0.939921398812506
8,0.574935030501691,0.620247237097373,0.23014281024427,0.347405105113469,0.0191254942715705,0.941407211473367
9,0.586624115765264,0.636156278188386,0.218640861155882,0.313445354528524,0.0146689499585658,0.918915479503631
10,0.569264932266959,0.613979274218259,0.227221341791518,0.349081844901235,0.0211757379788943,0.915077964728552
11,0.598187731077774,0.63655291383905,0.206903933531018,0.294055115051586,0.0163447560642106,0.919991781932065
12,0.617023363036066,0.662313439207603,0.205555301378362,0.280529724126644,0.0185240185297945,0.923881922145748
13,0.595202962910784,0.634618191467298,0.204437708151413,0.304280984570431,0.0538851163833542,0.926087939960611
14,0.580784067162377,0.603176146087738,0.215394642456427,0.292555421936661,0.0280120404022431,0.937970393044228
15,0.601168948635027,0.66409497470454,0.21961872598018,0.31072870214907,0.025376961729545,0.944236203019098
16,0.604754758733366,0.665143333407309,0.222614798316279,0.297272384891872,0.0503348110915142,0.936697218882411
17,0.584320257917257,0.636723330817782,0.224022594820312,0.318472259817297,0.0179770114902991,0.933452385697239
18,0.597857444857375,0.634492998216223,0.21593776418185,0.313975171687753,0.0255408438077017,0.928439533956142
19,0.596977018283688,0.643965351570772,0.226867487006306,0.342722667059899,0.0368273350803067,0.934875920311532
20,0.594922276414205,0.650280853170324,0.228850349493101,0.34228218901662,0.0230671673095031,0.933496870259967
21,0.576785643948851,0.604471041831616,0.227782667520635,0.363256779889947,0.0266470090503237,0.952945814081553
22,0.559005466530076,0.598430772351991,0.229460512244396,0.358388022478311,0.0147288202223456,0.940567467568838
23,0.590696952637888,0.63234258492568,0.223590777867086,0.348425863322848,0.0262433488794646,0.935383191101249
24,0.618166615408761,0.676488228601555,0.215287489423529,0.297700510329174,0.0735663964571588,0.939166723550435
25,0.579185823391456,0.627000020875288,0.236322462307942,0.382496730301943,0.0184169562066142,0.932681197589455
26,0.602838573706689,0.638255637302039,0.225410112071347,0.315651838563153,0.0237617056901608,0.942357409371817
27,0.595608678638189,0.63411561620849,0.215999139332015,0.323549542448133,0.0396728823205228,0.940071785085605
28,0.592085518770721,0.644130600675827,0.217680533321488,0.307816195193773,0.0184292739861767,0.931806343024304
29,0.599320444167317,0.645622297610692,0.217240185297288,0.332940235101354,0.0149159840871016,0.942098395240811
30,0.602362740432209,0.649931598023967,0.225290113369026,0.327236045300387,0.0196792668650403,0.9258007496547
31,0.596092050467801,0.641606613986649,0.217742389200326,0.302179986078655,0.0141615466758591,0.919283690400323
