Channel,MI_Loss,MI_Win,Difference
CH001,0.579301569581813,0.594757824835622,-0.0154562552538089
CH002,0.659169205209308,0.598388309525623,0.0607808956836849
CH003,0.569637745883311,0.646016504437251,-0.0763787585539393
CH004,0.533351050924167,0.559853347327112,-0.0265022964029451
CH005,0.496441871926886,0.432712355783201,0.0637295161436852
CH006,0.483356998375045,0.454161446122259,0.0291955522527867
CH007,0.538480138342069,0.614685335171754,-0.0762051968296853
CH008,0.592384175127809,0.532896473956981,0.0594877011708276
CH009,0.682783133752838,0.589148673962201,0.0936344597906372
CH010,0.494300660878996,0.587847939412539,-0.0935472785335434
CH011,0.562610664858105,0.643186708558073,-0.0805760436999683
CH012,0.446305037130289,0.577264164172036,-0.130959127041748
CH013,0.6963750698312,0.446280787182328,0.250094282648871
CH014,0.61350689804194,0.614128270461354,-0.000621372419414401
CH015,0.677795992438775,0.546950666030162,0.130845326408613
CH016,0.630076532107149,0.548264898853005,0.0818116332541435
CH017,0.565113654501651,0.562570175707121,0.00254347879453032
CH018,0.569213835165033,0.637897967934078,-0.0686841327690444
CH019,0.484736194426903,0.734774774902152,-0.25003858047525
CH020,0.659633344071587,0.632609877782512,0.0270234662890744
CH021,0.337697000680291,0.665746374486176,-0.328049373805885
CH022,0.558318414537429,0.53384972762904,0.0244686869083891
CH023,0.560581644634921,0.5026282167719,0.0579534278630212
CH024,0.543000768498354,0.506592486975386,0.0364082815229683
CH025,0.534410058103726,0.408935398444129,0.125474659659597
CH026,0.512342644568323,0.432550804369757,0.0797918401985665
CH027,0.397027216840738,0.590782732569898,-0.19375551572916
CH028,0.526836105266202,0.600628891186818,-0.073792785920616
CH029,0.524048622336183,0.507570621370393,0.0164780009657898
CH030,0.676871180874452,0.511430804072389,0.165440376802062
CH031,0.625230032224461,0.461951383819964,0.163278648404498
CH032,0.428707811272574,0.575785672181568,-0.147077860908994
CH033,0.67643493133013,0.523257103934211,0.153177827395919
CH034,0.498612411745399,0.528033310598921,-0.0294208988535219
CH035,0.47241732332055,0.40584614323687,0.0665711800836798
CH036,0.561761193423795,0.354258763383938,0.207502430039857
CH037,0.559452078301723,0.390642015338849,0.168810062962874
CH038,0.540993232269328,0.451923200338969,0.0890700319303583
CH039,0.494115144193288,0.455566588862732,0.0385485553305557
CH040,0.475252073191961,0.389893375150391,0.0853586980415704
CH041,0.57638554828498,0.504330459038155,0.0720550892468252
CH042,0.491408308397083,0.595895737231585,-0.104487428834501
CH043,0.573018224251346,0.568794900800729,0.00422332345061649
CH044,0.585709493004844,0.446456210027913,0.139253282976931
CH045,0.38703717760012,0.375468607618786,0.0115685699813344
CH046,0.559773866729797,0.645469927188191,-0.0856960604583941
CH047,0.698091019647445,0.654486075187349,0.043604944460096
CH048,0.552686868447496,0.457712157229845,0.0949747112176518
CH049,0.67466011144073,0.447334395755333,0.227325715685397
CH050,0.743781179333274,0.574096072344709,0.169685106988565
CH051,0.731046501872245,0.466068175413909,0.264978326458336
CH052,0.646721404681442,0.528796270198112,0.11792513448333
CH053,0.671650479418769,0.595070655220524,0.0765798241982452
CH054,0.648628260940549,0.456222784600703,0.192405476339846
CH055,0.402914723327893,0.563261066025273,-0.160346342697381
CH056,0.573983758464614,0.594977208675468,-0.020993450210854
CH057,0.607522092395495,0.513781878833931,0.0937402135615643
CH058,0.664178319034531,0.409096686020336,0.255081633014195
CH059,0.662659763525084,0.533318030220529,0.129341733304555
CH060,0.791525870717458,0.579423714930127,0.212102155787331
CH061,0.720694340054171,0.524108784723723,0.196585555330448
CH062,0.608092195769091,0.529006383800665,0.0790858119684259
CH063,0.588159115301429,0.47616026941034,0.111998845891088
CH064,0.461469894840221,0.518560009401335,-0.0570901145611142
CH065,0.453881223999748,0.578144459882027,-0.124263235882279
CH066,0.712221725230318,0.301932271205958,0.410289454024361
CH067,0.694223338810012,0.448455579710892,0.245767759099121
CH068,0.529975327370215,0.490492248548461,0.0394830788217541
CH069,0.310582536213858,0.535739224771592,-0.225156688557734
CH070,0.420736723714686,0.600153358120358,-0.179416634405672
CH071,0.682683927855208,0.4941555858153,0.188528342039908
CH072,0.705438249222448,0.312533209252744,0.392905039969704
CH073,0.686375393850299,0.558307758496063,0.128067635354236
CH074,0.308457182266052,0.455796131677428,-0.147338949411376
CH075,0.340103071348084,0.483847385703595,-0.143744314355512
CH076,0.388547177514377,0.586305976148627,-0.197758798634249
CH077,0.353748521866272,0.561638091984319,-0.207889570118047
CH078,0.471608277061282,0.61812106958959,-0.146512792528308
CH079,0.466852737315073,0.585121557310971,-0.118268819995898
CH080,0.546830155721238,0.637483801389607,-0.090653645668369
CH081,0.509814296660371,0.325853952325704,0.183960344334667
CH082,0.42805269554264,0.40124712309161,0.0268055724510295
CH083,0.59447282737085,0.412764538283228,0.181708289087622
CH084,0.502545352169989,0.637811390982427,-0.135266038812438
CH085,0.450348838806794,0.59999660657685,-0.149647767770057
CH086,0.578804294918854,0.597793563640187,-0.0189892687213339
CH087,0.567180796005472,0.504644521250535,0.0625362747549373
CH088,0.48928444723211,0.513330856220004,-0.0240464089878935
CH089,0.405536154589825,0.609499617843423,-0.203963463253598
CH090,0.492217657031764,0.399800576253679,0.0924170807780851
CH091,0.509233886504453,0.510772899321863,-0.00153901281740987
CH092,0.52034103058338,0.569112657782374,-0.0487716271989939
CH093,0.660067951661819,0.570644364764114,0.0894235868977049
CH094,0.467396863498062,0.436345765902499,0.0310510975955626
CH095,0.794332950349594,0.53937357586105,0.254959374488544
CH096,0.610281601392529,0.362174204510719,0.24810739688181
CH097,0.698456909174412,0.534985472176618,0.163471436997795
CH098,0.698156363941789,0.472098449853802,0.226057914087987
CH099,0.680253410556734,0.564394819554027,0.115858591002707
CH100,0.516696064289203,0.441258115047437,0.0754379492417659
CH101,0.66111828397303,0.440528569868298,0.220589714104732
CH102,0.566759798557007,0.473699930019889,0.0930598685371175
CH103,0.450943906527486,0.547803853921807,-0.0968599473943216
CH104,0.629329984839238,0.571679674902653,0.0576503099365849
CH105,0.516993655895817,0.551493450070258,-0.0344997941744409
CH106,0.511093088435079,0.556328424476503,-0.045235336041424
CH107,0.4613997031412,0.378671871863611,0.0827278312775889
CH108,0.572574233072304,0.641095455722725,-0.0685212226504203
CH109,0.579043815120199,0.635558836903875,-0.056515021783677
CH110,0.576306576211412,0.488754611450274,0.087551964761138
CH111,0.507372529956856,0.469107404191208,0.0382651257656487
CH112,0.34352202872854,0.539092039394909,-0.195570010666369
CH113,0.336015673156346,0.451060575487128,-0.115044902330783
CH114,0.564739159790089,0.568616535932026,-0.00387737614193706
CH115,0.456275424339613,0.435844291070978,0.0204311332686353
CH116,0.449254314589911,0.48309375435925,-0.0338394397693387
CH117,0.478803932321142,0.600528367933656,-0.121724435612514
CH118,0.358685820591342,0.533918943095479,-0.175233122504136
CH119,0.556581393520644,0.501733803526566,0.0548475899940778
CH120,0.589531627709346,0.556971920055714,0.0325597076536324
CH121,0.630927223961677,0.499148647406945,0.131778576554732
CH122,0.482076337597798,0.513192887755968,-0.0311165501581696
CH123,0.681934103972659,0.559733294347311,0.122200809625348
CH124,0.523516739706945,0.459685786609982,0.0638309530969633
CH125,0.477704450651983,0.555965955282371,-0.0782615046303884
CH126,0.611912151660807,0.485835998514188,0.126076153146619
CH127,0.644471825774127,0.497408727440328,0.147063098333799
CH128,0.56590204761748,0.539456420137465,0.0264456274800144
CH129,0.694389183955185,0.486749990466934,0.207639193488251
CH130,0.50052589541506,0.423109092517129,0.0774168028979312
CH131,0.459868056064449,0.439634764654755,0.020233291409694
CH132,0.6521549599949,0.39389430997841,0.25826065001649
CH133,0.566686793185681,0.424542062242057,0.142144730943624
CH134,0.700608860195333,0.404551775554968,0.296057084640365
CH135,0.692316990028588,0.408391780479398,0.28392520954919
CH136,0.659954740842066,0.469229301827083,0.190725439014983
CH137,0.568136006093248,0.497883243702032,0.0702527623912164
CH138,0.364653189919644,0.447899424675303,-0.0832462347556596
