Channel,AUC_A,AUC_B,Delta,Rank_A,Rank_B
CH125,53.508427,46.154275,-7.354152,45,60
CH126,52.424349,45.274448,-7.149901,51,69
CH127,52.284172,52.016737,-0.267434999999999,54,25
CH128,55.899913,44.915905,-10.984008,40,71
CH129,56.533476,46.169546,-10.36393,37,59
CH130,44.245885,39.812159,-4.433726,100,111
CH131,47.492484,40.273117,-7.219367,78,107
CH132,46.285457,38.484083,-7.801374,88,119
CH133,39.099443,39.796622,0.697178999999998,113,112
CH134,32.466412,42.943261,10.476849,121,89
CH135,34.203663,46.65238,12.448717,117,55
CH136,43.796361,41.612503,-2.183858,101,97
CH137,57.242656,45.480936,-11.76172,33,68
CH138,47.34613,50.051612,2.705482,81,32
