Channel,MI_Loss,MI_Win,Difference
CH001,0.582273805723786,0.51801191354353,0.0642618921802565
CH002,0.281606951901726,0.554709087041461,-0.273102135139735
CH003,0.589028615342733,0.527359559305363,0.0616690560373701
CH004,0.534195412519645,0.542588749758495,-0.00839333723884972
CH005,0.447018858286141,0.450149350061388,-0.00313049177524688
CH006,0.518084219956795,0.510128911450988,0.00795530850580684
CH007,0.397449469926919,0.497158947480469,-0.0997094775535497
CH008,0.561599621033602,0.430636250049646,0.130963370983956
CH009,0.547690787245361,0.50000925480205,0.047681532443311
CH010,0.373571729035925,0.566799242523639,-0.193227513487714
CH011,0.497507286949791,0.60185065418835,-0.104343367238559
CH012,0.638000963555848,0.601292765500229,0.0367081980556192
CH013,0.614756841071718,0.579797243114404,0.0349595979573148
CH014,0.675075262514837,0.527186538418987,0.147888724095849
CH015,0.448474411946999,0.622789122516784,-0.174314710569784
CH016,0.582880816356143,0.508367315638223,0.0745135007179198
CH017,0.578179748461409,0.507639175548517,0.0705405729128918
CH018,0.656095418642126,0.540170656472181,0.115924762169945
CH019,0.539276040874316,0.6221672498113,-0.0828912089369841
CH020,0.386590458029118,0.723479567176023,-0.336889109146904
CH021,0.377446490700985,0.626830605942549,-0.249384115241563
CH022,0.413511380479453,0.578579557671932,-0.165068177192479
CH023,0.465678427891573,0.508484082689104,-0.0428056547975307
CH024,0.472925178269634,0.630717227681942,-0.157792049412308
CH025,0.58984526632983,0.482064614498113,0.107780651831717
CH026,0.61830305377974,0.517986637804452,0.100316415975288
CH027,0.569979419633483,0.495165248236359,0.0748141713971245
CH028,0.407116589257787,0.523378970931581,-0.116262381673794
CH029,0.565382562216297,0.537700551788445,0.0276820104278517
CH030,0.537130391622794,0.521224732178411,0.0159056594443826
CH031,0.516858479815538,0.571398185169672,-0.0545397053541334
CH032,0.487760725888183,0.538048858684297,-0.0502881327961134
CH033,0.575871618963606,0.573655793678584,0.00221582528502207
CH034,0.432803431286674,0.662626582156537,-0.229823150869862
CH035,0.57846015275767,0.476713920713211,0.101746232044459
CH036,0.432999280207348,0.559881784736416,-0.126882504529068
CH037,0.560602578227177,0.553959057788592,0.00664352043858485
